id,year,Source,PageNumber,BeginningWords,Date,Length,FrontPage,Description,subissue,issue
2,1946,NYT Index 1946,3,Bail for Dr,11/24/2046,9,0,"Bail for Dr  A. Flandina and V.  Ryder halved at their arraignment, NYC. Dr. I Epstein charged with recommending Flandina's services held in bail (subject-abortion)",20081,2
117,1946,NYT Index 1946,233,rejects Negro application,10/31/2046,9,0,Cincinati Bar Asociation rejects Negro application; member resigns in protest,201,2
140,1946,NYT Index 1946,279,E G Brown,11/18/2046,9,0,"E G Brown, Natl Negro Council dir, urges hearings be held in Washington, DC; says Negro witness could not otherwise testify without fear of violence; suggest Sen E withdraw as investigation chief",201,2
326,1946,NYT Index 1946,651,resolutions com brings,5/24/1946,9,0,"Natl Society of the American Revolution: resolutions com brings controversial resolution on 'white artists only' clause to floor; Mrs E C D Vann defends resolution, then withdraws it; comments on tactics",201,2
568,1946,NYT Index 1946,1135,Hotel and restaurant,8/16/1946,9,0,Hotel and restaurant employes union urges State to outlaw employment of women as barmaids.,202,2
585,1946,NYT Index 1946,1169,on Mayor's Unity,1/24/1946,9,0,comment on Mayor's Unity Com rept on discrimination in higher educ insts.,200,2
679,1946,NYT Index 1946,1357,CIO Air Transport,8/7/1946,9,0,"KU KLUX Klan: CIO Air Transport Workers maintenance workers unit charges Klan threatened life of R Winfield, Pan Amer Airways Negro employe and union shop steward, Miami, Fla.",201,2
750,1946,NYT Index 1946,1499,Dr L D,9/15/1946,9,0,Dr L D Newton comments ( Arnall denies knowledge of identification or arrest of lynching suspects reptd by Washington Post;Truman says Fed investigation is being pursued energetically.),201,2
952,1947,NYT Index 1947,145,Missouri Valley Conf,12/14/2047,9,0,Missouri Valley Conf votes to end racial discrimination at member schools; full compliance with Natl Coll AA code voted,201,2
1031,1947,NYT Index 1947,303,Gets Racial Understanding Council award,6/3/1947,9,0,(Dr) C H Brown Gets Racial Understanding Council award,201,2
1084,1947,NYT Index 1947,409,announces Eisler demand,3/17/1947,9,0,(Civil rights)  Civil Rights Congress announces Eisler demand for apptmt of Enemy Alien Bd to determine disposition of his case,209,2
1449,1947,NYT Index 1947,1139,files non-Communist affidavit,10/15/2047,9,0,Internal Jewelry Workers Union files non-Communist affidavit,209,2
1470,1947,NYT Index 1947,1181,"A friendly testifies, Cong com",2/25/1947,9,0,Cong testimony (on alleged Communist activities in TVA),209,2
1580,1947,NYT Index 1947,1401,ed lauding rept,10/31/2047,9,0,editorial lauding rept [on civil rights] for stress on human equality,200,2
1740,1947,NYT Index 1947,1721,by M Johnson,9/18/1947,9,1,Councilman Quill charged by M Johnson of having communist ties,209,2
1785,1947,NYT Index 1947,1811,Offers equal rights,1/10/1947,9,0,Repr Robison offers equal rights for women amendment,202,2
1991,1947,NYT Index 1947,2223,16 denied motion,7/12/2047,9,0,"16 [members of Joint Anti-Fascist Refugee Com, convicted of contempt of Cong] denied motion for new trial [by HUAC]",209,2
2009,1947,NYT Index 1947,2259,Jewish War Veterans,12/31/2047,9,0,Jewish War Veterans NY Dept to require new members to sign anti-Communist pledge,209,2
2030,1947,NYT Index 1947,2301,Urges Ga Legis,1/29/2047,9,0,A T Walden urges GA Legis hearing on white primary issue,206,2
2058,1947,NYT Index 1947,2357,Yale Univ psychiatrist,3/5/2047,9,0,Yale Univ psychiatrist testifies in Winsor censorship case in Massachusetts; judge says it put him to sleep,207,2
2104,1948,NYT Index 1948,43,com establishment to,10/10/2048,9,0,Com establishment to campaign for increased Negro vote urged at NAACP conf,206,2
2139,1948,NYT Index 1948,113,Reorganized,7/9/1948,9,0, (Bill of Rights) is reorganized,200,2
2178,1948,NYT Index 1948,193,V Dabney says,4/16/1948,9,0,Dabney says no southern newspaper backs Pres Truman program (civil rights),201,2
2179,1948,NYT Index 1948,195,D E Lilienthal,11/1/1948,9,0,Lilienthal sees dogmatic attitudes greatest threat (civilization),200,2
2249,1948,NYT Index 1948,337,Sen Sparkman says,3/23/1948,9,0,Sen Sparkman says average Negro is not sufficiently interested in pol to vote,206,2
2355,1948,NYT Index 1948,549,'47 gains revd,5/16/1948,9,0,'47 gains revd (Hamilton Grange Interracial Discussion Group),201,2
2433,1948,NYT Index 1948,705,C E Thompson,9/12/1948,9,0,Thompson finding that Negroes respond inadequately to pictures of whites in Murray psychological test and resulting test adjustment described,201,2
2610,1948,NYT Index 1948,1059,Atty Gen Goldstein,1/12/1948,9,0,Atty Gen Goldstein repts gains in checking racial and religious bias by pub accommodation in NYS resorts,200,2
2637,1948,NYT Index 1948,1115,NAACP exec sec,6/28/1948,9,0,NAACP exec sec urges Truman to issue order prohibiting discrimination,201,2
2693,1949,NYT Index 1949,15,"African Affairs, Council on",6/20/1949,9,0,"Council on African Affairs sponsors rally for P Robeson, NYC.",201,2
2712,1949,NYT Index 1949,53,Lr asks Fed anti-lynch legis,1/16/1949,9,0,Lr asks Fed anti-lynch legis,201,2
2793,1949,NYT Index 1949,215,W White resignation,5/11/1949,9,0,(Natl Assn for Colored People):W White resignation rejected,201,2
2917,1949,NYT Index 1949,463,Withdrawn as speaker,1/23/1949,9,0,"Gus Hall withdrawn as speaker at ALP rally, Yonkers, at request of meeting-place officials",209,2
2973,1949,NYT Index 1949,575,L B Granger lr on,3/7/1949,9,0,lr on Feb 28 ed on NYS Comm Against Discrimination,201,2
3049,1949,NYT Index 1949,727,NYS Eds Soc backs Desmond,2/1/1949,9,0,NYS Eds Soc backs Desmond-Mailler newsmen's confidence bill conf; Dist Attys Assn opposition noted,200,2
3213,1949,NYT Index 1949,1057,Fed Ct rules that,12/8/1949,9,0,"Fed Cut rules that classification during video program of a Govt employe as being a Communist is slanderous per se, W Remington libel case motion ruling",209,2
3214,1949,NYT Index 1949,1059,Sen (McCarran) subcom,12/18/2049,9,0,Sen (McCarran) subcom member Sen O'Conor urges Justice Dept and FCC to probe Gdnyia-Amer Line,209,2
3215,1949,NYT Index 1949,1061,Medina rebukes defense,2/18/1949,9,0,(Communist Leaders espionage trail): (Judge) Medina rebukes defense attys during McKenzie cross-exam; US Atty McGohey gets word of nomination for reapptmt to post during trial session,209,2
3216,1949,NYT Index 1949,1063,Gates held in contempt for,6/3/1949,9,1,(Communist Leaders espionage trail): Gates held in contempt for refusing to answer question Dennis CP position; (Judge) Medina reserves decision on defense objection to question of identifying CP officials; Gates revs testimony he gave before Sen com,209,2
3217,1949,NYT Index 1949,1065,Dennis ends statement,10/13/2049,9,0,(Communist Leaders espionage trail): Dennis ends statement; US Atty McGohey summation; he contends Govt proved conspiracy charge,209,2
3218,1949,NYT Index 1949,1067,Judge Ryan begins,11/15/2049,9,0,(Communist Leaders espionage trail): Judge Ryan begins hearing pre-trail testimony on Coplon moves to bar 2d trail; Palmer questions FBI agent R Grantville on arrest intention,209,2
3219,1949,NYT Index 1949,1069,Chambers cross-examined and,6/8/1949,9,1,(Communist Leaders espionage trail):  Chambers  examination of perjury and defending acts; Chambers testifies on infiltration of Communist Party; his statement to Un-Amer Activities Com,209,2
3220,1949,NYT Index 1949,1071,US Atty Murphy,12/22/2049,9,0,(Communist Leaders espionage trail):  US Atty Murphy cross-examines Hiss on his Un-Amer Activities Com testimony on Chambers auto and on Chambers-Hiss confrontation in '48; State Dept Passport Div head lr on Field disappearance read,209,2
3273,1950,NYT Index 1950,15,F J Hertel,5/7/1950,9,0,Hertel urges wrong conceptions about aged be changed,204,2
3291,1950,NYT Index 1950,51,E Cantor warns,10/2/1950,9,0,"E Cantor warns against loyalty blacklisting, US; cites I Wicker case",209,2
3307,1950,NYT Index 1950,83,POLITICS AND GOVT:,6/21/1950,9,0,"bill outlawing Comunist party again passes 2d reading, House",209,2
3365,1950,NYT Index 1950,199,Judge Medina warns,12/14/1950,9,0,Judge Medina warns against discarding [civil] rights during [communist] crisis,209,2
3384,1950,NYT Index 1950,237,Sir G Jebb,9/20/1950,9,0,article on evils of Communism,209,2
3593,1950,NYT Index 1950,655,P Draper and,3/1/1950,9,0,"P Draper and L Adler answer Mrs H R McCullough's [libel and slander] pre-trial questions, citing group links; Adler admits Soviet-Amer Friendship Council tie at request of S Koussevitsky",209,2
3635,1950,NYT Index 1950,739,"Scott, Hazel: refuses",3/24/1950,9,0,"musician  refuses to play before segregated audience, UNC, Chapel Hill",201,2
3638,1950,NYT Index 1950,745,Election; Dr Bethune,10/30/1950,9,0,Assn for the Study of Negro Life and History elects pres,201,2
3639,1950,NYT Index 1950,747,RELIGION:  Presbs end,6/24/1950,9,0,"Presbs end segregation at ch resort, Montreat, NC",201,2
3647,1950,NYT Index 1950,763,PUERTO RICANS:  Mayor's,4/21/1950,9,0,Mayor's Com on PR Affairs subcoms rept; econ program stressed,200,2
3786,1950,NYT Index 1950,1041,COMMUNISM AND SUBVERSIVE,12/1/1950,9,0,M Moss pledges to enforce NYC Regents rulings under Feinberg law re: Communism and subversive activity control of teachers,209,2
3842,1950,NYT Index 1950,1155,defense and prosecution,1/19/1950,9,0,defense and prosecution summations on FBI wiretap issue; pre-trial hearings end,209,2
3844,1950,NYT Index 1950,1159,lrs on bill,6/19/1950,9,0,letters on [anti-Communist] bill before Cong,209,2
3863,1950,NYT Index 1950,1197,Lattimore statement on,4/9/1950,9,0,article on McCarthy speech; Under-Sec Peurifoy statement; pub Amer Foreign Service Journal ed on probe,209,2
3864,1950,NYT Index 1950,1199,Repub Sens M,6/2/1950,9,1,Repub Sens issue Declaration of Conscience denouncing McCarthy tactics; Adm [State Dept] scored for lack of leadership; Tydings and Truman comment,209,2
3931,1951,NYT Index 1951,79,Ford Local 600,1/15/1951,9,0,Ford Local 600 votes bars Communists from holding offices,209,2
4058,1951,NYT Index 1951,333,to represent 16,8/21/1951,9,0,Prof T I Emerson to represent 16 Communist leaders on pre-trial motions,209,2
4072,1951,NYT Index 1951,361,Rev Dr B C Eckardt,6/9/1951,9,0,Rev Eckardt named chmn of F L Wright Foundation,200,2
4099,1951,NYT Index 1951,415,Appeals Ct rules,12/21/1951,9,0,"(Golf--US): Appeals Ct rules Negroes may use Houston, Tex munic links (when whites are barred)",201,2
4194,1951,NYT Index 1951,605,freed after 6-wk,2/2/1951,9,0,"Roman Kutylowski freed after detention, Ellis IS, under Internal security Act",209,2
4252,1951,NYT Index 1951,721,"Emancipation Proclamation observance, NYC",1/2/1951,9,0,"(US Negroes):  Emancipation Proclamation observance, NYC",201,2
4275,1951,NYT Index 1951,767,Sigma Dlta Chi,12/22/1951,9,0,( Pres Truman will sign order tightening curbs on news from non-defense Govt agencies):  Sigma Dlta Chi bares J Short attack on fratemity resolution scoring order; reiterates attack on order as threat to freedom,207,2
4426,1951,NYT Index 1951,1071,investigatory procedures,5/27/1951,9,0,a lr on Sen Crime investorating com innovations as precedent for procedures which would impair Const guarantees of civil rights and judicial process,200,2
4435,1951,NYT Index 1951,1089,Loyalty Rev Bd,5/19/1951,9,0,Loyalty Rev Bd annouces it will reexamine some cases under new reasonable doubt standard; orders dept bds to rejudge doubtful cases,209,2
4442,1951,NYT Index 1951,1103,"Gates, Potash, Stachel",7/3/1951,9,0,"some communist party leaders who surrendered to serve jail terms, illus",209,2
4443,1951,NYT Index 1951,1105,Metzger refuses,8/31/1951,9,0,(Internal security):  (Communist leader) Metzger refuses to disqualify self (under Smith Act),209,2
4444,1951,NYT Index 1951,1107,"Ferrer testifies, repeating",5/26/1951,9,0,"(internal security):  Ferrer testifies in House hearings, repeating denials of Communist links.",209,2
4445,1951,NYT Index 1951,1109,Govt cross-exam,1/18/1951,9,0,Govt cross-exam of Bryan shows discrepancies in current and indicting grand jury testimony on CP memebership cards and dues; cites Bryan Ark arrests,209,2
4581,1952,NYT Index 1952,169,"Cumberland, Md, plant",8/6/1952,9,0,"(Celanese Corp of America); Md plant conditions cited, Communist leaders trial",209,2
4607,1952,NYT Index 1952,221,Prof Hildebrand urges,9/19/1952,9,0,Prof Hildebrand urges Amre Assn of Univ Profs abandon '47 stand on communism that supporters are not necessarily subversive however subversive movemnt is,209,2
4697,1952,NYT Index 1952,401,Eisenhower says Dem,10/10/1952,9,0, Eisenhower says Dems failed to fulfill pledges (re human rights),200,2
4765,1952,NYT Index 1952,537,"600 distribute leaflets,",6/6/1952,9,0,600 distribute leaflets for NY Workers for Peace,200,2
4847,1952,NYT Index 1952,701,Judge Fake warns,5/26/1952,9,0,Judge Fake warns against spreading bias (against minorities),201,2
4852,1952,NYT Index 1952,711,SAG backs Motion,6/19/1952,9,0,Screen Actors Guild backs motion Picture Indus Council move to aid those unfairly attacked for Communist sympathy,209,2
4886,1952,NYT Index 1952,779,Pres Truman implies,4/18/1952,9,0,Pres Truman implies Pres has power to seize newspapers and radio stations to protect natl welfare in emergency,207,2
5087,1952,NYT Index 1952,1185,Govt witness D,2/6/1952,9,0,Govt witness testifies on membership of defendants in communist party,209,2
5091,1952,NYT Index 1952,1193,P Frankfeld expelled,3/8/1952,9,0,"Frankfeld expelled from Baltimore Communist Party for 'defeatism' toward Smith act of 40""",209,2
5150,1953,NYT Index 1953,21,contractor denies charges,8/9/1953,9,0,"contractor denies charges ( by NAACP which repts that contractors signed 22 boys, Bklyn,  for work on LI farms and then abducted them to Wayland; FBI and Labor Dept will probe charges)",201,2
5179,1953,NYT Index 1953,79,NAACP demands Eisenhower,6/28/1953,9,0,NAACP demands Eisenhower end alleged job bias,201,2
5408,1953,NYT Index 1953,541,Newspaper Publishers & Eds Assn,10/2/1953,9,0,Newspaper Publishers & Eds Assn charges Govt-planned measures could revive thought control,207,2
5414,1953,NYT Index 1953,553,"Kaplan, Raymond (1910-1953)",3/6/1953,9,0,"Kaplan, Raymond (1910-1953), suicide; inquest planned (inquest holds death was suicide caused by fear of being called before McCarthy subcom)",209,2
5477,1953,NYT Index 1953,679,Comr Donohue conf with,1/23/1953,9,1,Comr Donohue conf with Pres Eisenhower,200,2
5561,1953,NYT Index 1953,849,G Lumpkin testifies on,4/3/1953,9,0,testifying story (before Sen McCarthy's subcom) about communist influence and publications,209,2
5562,1953,NYT Index 1953,851,Dr W S Dix scores,10/24/1953,9,0,Dr W S Dix scores (MaCathy's) subcom probe of (Communist propaganda from) USIS libraries abroad,209,2
5595,1953,NYT Index 1953,917,to get Amer Jewish,7/31/1953,9,0,G D Schine to get Amer Jewish League Against Communism award,209,2
5694,1953,NYT Index 1953,1115,outlook for probes,1/4/1953,9,0,(US--internal security) outlook for probes by 83d Cong; Sens Taft and McCarthy comments,209,2
5698,1953,NYT Index 1953,1123,comment,8/30/1953,9,0,comment (on Atty Gen Brownell move to list Natl Lawyers Guild as subversive and Guild pres statement),209,2
5699,1953,NYT Index 1953,1125,pub rept on hearings on Govt,8/24/1953,9,1,pub rept on hearings on Govt infiltration by communists; says FBI had data on many suspected Communists; urges further Cong probes,209,2
5700,1953,NYT Index 1953,1127,Washington hearing; UE legis,6/10/1953,9,0,Cong hearings on Communist in US govt; Kearney says Albany probe will show that some in NYS Govt are Communists,209,2
5701,1953,NYT Index 1953,1129,lr on McCarthy,9/12/1953,9,0,lr on McCarthy Sept 2 statement,209,2
5702,1953,NYT Index 1953,1131,Clark lr text,11/14/1953,9,0,"(investigation into govt loyalty issues): Clark lr text (in which he refuses, on Constitutional grounds, to hon subpoena)",209,2
5707,1953,NYT Index 1953,1141,B M Baruch on,5/8/1953,9,0,B M Baruch on infringements o nindividual freedom,209,2
5708,1953,NYT Index 1953,1143,B'nai B'rith Girls Clubs,8/24/1953,9,0,B'nai B'rith Girls Clubsurged to fight communism; Rev Dr Jack scores McCarthy for instilling fear in US,209,2
5741,1953,NYT Index 1953,1209,Equal Rights Amendment (proposed),6/13/1953,9,0,"Equal Rights Amendment (proposed): early Cong passage seen, Natl Woman's party",202,2
5956,1954,NYT Index 1954,431,9  Negroes sue,8/19/1954,9,0,9 Negroes sue Randolph County officials for deleting names fo 120 Negroes from voting rolls; charge voter qualification laws are unconst (Georgia),206,2
6081,1954,NYT Index 1954,681,Dean Johnson sees,10/27/1954,9,0,"Minorites and Oppressed Groups-NYC, Puerto Ricans: Dean Johnson sees rise from 250,000, '50 to over 1 million, '70",200,2
6101,1954,NYT Index 1954,721,Negroes drive for,5/18/1954,9,1,Negroes drive for equality gains as Sup Ct bans segregation in pub schools,201,2
6296,1954,NYT Index 1954,1111,Sen Knowland says,1/1/1954,9,0,"Internal Security: Sen Knowland says Sen Repub Policy Com will discuss proposals to replace Sen Internal Security (Jenner) subcom, Sen Permanent Investigations (McCarthy subcom and House Un-Amer Activities (Velde) Com with a joint com on internal secuirty",209,2
6298,1954,NYT Index 1954,1115,"Sen, by voice vote",8/20/1954,9,1,"Sen, by voice vote, passes bill to take citizenship privileges away from citizens convicted of conspiring to overthrow Govt by violence.",209,2
6299,1954,NYT Index 1954,1117,Youngdahl sets arguments,10/15/1954,9,0,"Internal Security, Lattimore, O: Youngdahl sets arguments on affidavit; Atty Gen Brownell backs Rover; defense files memo supporting motion to dismiss affidavit.",209,2
6300,1954,NYT Index 1954,1119,summary of events,2/28/1954,9,0,"Internal Secuirty, probe of Mil Establishment: summary of events in Peress case and McCarthy-Stevens controversy; Stevens, Dirksen, McCarthy illus after reading of Mem of Understanding",209,2
6301,1954,NYT Index 1954,1121,comment on Sears,4/2/1954,9,0,"Internal Security, Probe of Mil Establishment: comment on Sears support of McCarthy in '52 election; he says he raised no funds although he tried; Nov '53 debate with Prof Howe recalled in which Sears scored those who invoke 5th Amendment; Howe comment;",209,2
6302,1954,NYT Index 1954,1123, phone monitoring regarded,4/24/1954,9,1,Internal Security: phone monitoring regarded as standard procedure among Washington officials; legal aspects discussed; pertinent Communication Act sec cited.,209,2
6303,1954,NYT Index 1954,1125,Repub-Dem controversy,5/4/1954,9,1,Repub-Dem controversy develops over possibility of limiting testimony to McCarthy and Stevens. Dirksen says after subcom closed session that this is being considered to speed hearings.,209,2
6304,1954,NYT Index 1954,1127,texts of Eisenhower,5/18/1954,9,0,Internal Security: texts of Eisenhower lr and Brownell memo; Pres aide Hagerty illus reading lr to press,209,2
6305,1954,NYT Index 1954,1129,Dr Griswold s,6/7/1954,9,0,"Internal Security: Dr Griswold s on hearings, Yale U",209,2
6307,1954,NYT Index 1954,1133,Mrs E C,1/23/1954,9,0,"Internal Security, NH Atty Gen Probe: Mrs E C Nelson asks NH Sup Ct to rule on probe constitutionality.",209,2
6312,1954,NYT Index 1954,1143,Repr Javits scores,2/23/1954,9,0,"Repr Javits scores reckless charges of Communist sympathy or treason against Dems, s, Bklyn.",209,2
6313,1954,NYT Index 1954,1145,"Brownell s, radio",4/10/1954,9,0,"Brownell s, radio-TV; says Adm will use new and powerful const weapons to destroy Communist party; discusses FBI methods; hails their success.",209,2
6315,1954,NYT Index 1954,1149,A E Stevenson,9/9/1954,9,0,A E Stevenson says Dems will not forget McCarthy treason charges; scores Brownell for impugning Truman loyalty.,209,2
6318,1954,NYT Index 1954,1155,Sen Smathers suggests,1/14/1954,9,0,"Sen Smathers suggests McCarthy subcom probe Stainback charge that Communists might dominate new state, lr to Butler; Butler calls proposal effort to delay com vote; Sens, except McCarthy and Jenner, apathetic to probe",209,2
6475,1955,NYT Index 1955,249,"Meets,  nYC",1/4/1955,9,0,National Assn for the Advancedment of colored People(nAACP) meets in  NYC.,201,2
6532,1955,NYT Index 1955,363,ed on ruling,6/2/1955,9,0,ed on ruling.(subheading: education-Negro educ)(ruling: Sup Ct implements '54 ban on segregation in pss by ordering states to end practice within reasonable time),201,2
6568,1955,NYT Index 1955,437,G L Archer,10/15/1955,9,0,"G L Archer of Prots and Other Amers United for ch, State Separation releases text of testimony prepared for pub hearing subcom cancelled; Hocker regrets Archer feels subcom seeks to suppress facts; (subheading: Sen subcom on Const rights)",209,2
6570,1955,NYT Index 1955,441,Repr Walter says,11/24/1955,9,0,Repr Walter says House Un-Amer Activities Com probes fund with view to pub hearings; Sen Internal Security subcom probes fund;(Fund for the Republic),209,2
6714,1955,NYT Index 1955,729,Columbia Picture sues,4/1/1955,9,0,Columbia Picture sues Memphis Censors Bd for ban reversal.(H: motion pictures-censorship),209,2
6729,1955,NYT Index 1955,759,R wilkins charges,9/18/1955,9,0,"R wilkins charges violation of Negroes civil rights in missisippi, Sen subsom,",201,2
6754,1955,NYT Index 1955,809,ANG asks subcom,2/4/1955,9,0,ANG asks subcom for opportunity to remove any impression of communist influence; Sen Eastland orders early hearing arranged; (H: News- and Newspapers-investigation of newsmen for alleged links to communists),209,2
6933,1955,NYT Index 1955,1167,11 ask rehearing,5/7/1955,9,0,"11 ask rehearing of motion for retrial because of Mathusow shift (internal security, communists, prosecution of NYC)",209,2
6934,1955,NYT Index 1955,1169,comment,1/30/1955,9,0,Comment (on internal security trial),209,2
6936,1955,NYT Index 1955,1173,Rev Blake challenges,9/18/1955,9,0,"Rev Blake challenges Atty Gen power to draft list of subversive orgns, Sen Const rights subcom (internal security)",209,2
6974,1955,NYT Index 1955,1249,Joint Legis (Savarese),11/27/1955,9,0,"Joint Legis Com to hold pub hearings, NYC, following completion of 9 mo probe; hearings to be confined to private taps (illegal wiretapping)",209,2
6975,1955,NYT Index 1955,1251,Editorial on 40th,10/21/1955,9,0,Editorial on 40th anniv of Women's City Club of NY,202,2
7151,1956,NYT Index 1956,345,US: Women's Clubs,5/18/1956,9,0,"In the US, Women's Clubs General Federation urges uniform laws (on divorces, separations and annulments.)",202,2
7168,1956,NYT Index 1956,379,28 parents ask Howard,8/27/1956,9,0,"28 parents ask Howard County, Md, ct to order School Bd to set up separate schools (for blacks and whites.)",201,2
7169,1956,NYT Index 1956,381,Tex Dem Conv,9/13/1956,9,0,Tex Dem Conv rejects equal rights plank offered by liberal faction;also urge state legis to bar mandatory attendence in integrated schools.,201,2
7170,1956,NYT Index 1956,383,Stevenson says Eisenhower,10/31/1956,9,0,Stevenson says Eisenhower omits mention of Ct edict about education in all speeches in the South.,201,2
7211,1956,NYT Index 1956,466,Sen Lehman says,5/18/1956,9,0,Sen Lehman says 1956 Presidential election candidates should be tested by the rights(human rights and freedom) issue and says the govt seems to consider itself neutralist in the struggle.,200,2
7308,1956,NYT Index 1956,662,"Kent has operation,",5/25/1956,9,0,Rockwell Kent has an operation (under investigation for alleged communist activities).,209,2
7318,1956,NYT Index 1956,682,DISCRIMINATION: Chmn Abrams,3/19/1956,9,0,Chmn Abrams says some NYS Repub's seek to hinder activities of the NYS Comm Against Discrimination for fear that Negroes from the South will inundate cities for job protection.,201,2
7344,1956,NYT Index 1956,734,US Sup Ct,2/3/1956,9,0,US Sup Court is urged to review the case (of interracial marriage.),201,2
7370,1956,NYT Index 1956,786,Lr scores NYS,10/23/1956,9,0,Lr scores NYS ban on racial data on driver's licenses.,201,2
7383,1956,NYT Index 1956,812,Concert at Fla,3/30/1956,9,0,"Concert at Fla University is canceled, reptdly over a segregation issue.",201,2
7384,1956,NYT Index 1956,814,A Carter charges,3/30/1956,9,0,A Carter charges the NAACP 'infiltrates' white youth with 'rock-and-roll music'.,201,2
7392,1956,NYT Index 1956,830,"Osservatore Romano, criticizing",9/7/1956,9,0,"Osservatore Romano, criticizing disturbances over school integration at Oliver Springs, Tenn, calls cias sin against christianity and paradox mortifying the US.",201,2
7393,1956,NYT Index 1956,832,Stevenson again urges,3/11/1956,9,0,Stevenson again urges Eisenhower to use conferences to help ease tensions;warns against pol expediency in conflict. (in reference to Negroes US South),201,2
7394,1956,NYT Index 1956,834,RECREATION AND SPORTS:,11/3/1956,9,0,NAACP exec urges Sec Brucker to order a withdrawal of the Army football team from a 1957 game with Tulane because of Louisiana's law requiring segregated seating.,201,2
7395,1956,NYT Index 1956,836,Dr M C Williams,12/20/1956,9,1,Dr M C Williams and Rev Dupont get anon threats; A D Shores is to defend 22 Negroes in Birmingham and 2 whites fire on a bus there.,201,2
7565,1956,NYT Index 1956,1177,Sues US State,5/2/1956,9,0,Donald Stewart sues the US State Dept to get a passport and has filed a non-Communist affidavit;holds denial impairs his earning capacity.,209,2
7590,1956,NYT Index 1956,1227,Birmingam unit severs,1/8/1956,9,0,Birmingham unit of the American Federation of Teachers severs ties over policy of racially integrated locals.,201,2
7637,1956,NYT Index 1956,1321,Charney testifies; denies,6/20/1956,9,0,Charney testifies (to US Internal Security); denies he or the Communist party ever taught violent revolution.,209,2
7840,1957,NYT Index 1957,309,hearings cited among,9/22/1957,9,0,Hearings cited among laws and probes aimed at NAACP in anti-segregation fight (Virginia),201,2
7870,1957,NYT Index 1957,371,Sen debate opens,7/9/1957,9,1,Sen debate opens as Knowland presents bill; White House notes Eisenhower called in Brownell as he promised Russell; Nixon sees Sen passage this session (freedom and human rights),201,2
7871,1957,NYT Index 1957,373,sidelights on Thurmond,8/30/1957,9,0,Sidelights on Thurmond s; Thurmond talks against bill (freedom and human rights) in Senate,201,2
7958,1957,NYT Index 1957,547,Lr disputing G,4/2/1957,9,0,Lr disputing G Kennan lr on his news acct in Times of Draper book on US communism,209,2
7992,1957,NYT Index 1957,615,Gov Harriman urges,1/10/1957,9,0,"Gov Harriman urges letting NYS Comm Against Discrimination initiate action, annual message to Legis",201,2
8012,1957,NYT Index 1957,655,Collins orders temporary,1/2/1957,9,1,Collins(Gov) orders suspension of service to bar violence;home of integration leader damaged; shots fired into Negro store; Police Chief uncertain whether shooting is linked with integration; Collins blames White Citizens Council,201,2
8019,1957,NYT Index 1957,669,Wagner to issue,5/11/1957,9,0,Wagner (Gov) issues exec order giving hearings 'on neutral ground' and allowing pleas before Intergroup Relations Comm (discrimination),201,2
8021,1957,NYT Index 1957,673,A Aresco loses,1/3/1957,9,0,Aresco loses '55 suit to compel Kennedy to appt him to force; had charged that apptmt was refused because father signed Communist petition (NYC police),209,2
8100,1957,NYT Index 1957,831,US Sup Ct,6/25/1957,9,1,US Sup Ct rules sex and obscenity are not synonymous,207,2
8148,1957,NYT Index 1957,929,"Negro leaders, Port",2/24/1957,9,0,Negro leaders call of boycott of bus,201,2
8181,1957,NYT Index 1957,997,Atty Gen Wyman scores,10/7/1957,9,0,Atty Gen Wyman scores decisions (on individual rights),200,2
8275,1958,NYT Index 1958,129,"Dist 1 meets,",6/2/1958,9,0,Dist 1 meets (B'NAI B'rith),200,2
8306,1958,NYT Index 1958,191,Rev D Harrington,2/11/1958,9,0,(Committe on Civil Rights in Manhattan) Rev D Harrington lr urges contributions,201,2
8323,1958,NYT Index 1958,225,Claretian Fathers pub,1/4/1958,9,0,Claretan Fathers pub chides other RC Ch pubs for criticism of Cts as pro-Communist,209,2
8365,1958,NYT Index 1958,309,J C Hagerty,6/20/1958,9,0,"J C Hagerty says Eisenhower will discuss integration problems with Rev Dr King;  other Negro leaders; Atty Gen Rogers, 2 on White House staff to attend; Repr Powell announces conf before Hagerty, says it is his idea",201,2
8398,1958,NYT Index 1958,377,US Sup Ct,7/1/1958,9,1,"US sup Ct rejects $100,000 contempt fine imposed by Ala when NAACP refused to disclose membership, holding such discloure would violate free speech",207,2
8428,1958,NYT Index 1958,437,Fed Civil Rights,10/24/1958,9,0,Fed Civil Rights comm to hold hearings in NYC;,201,2
8505,1958,NYT Index 1958,591,Bomb threat interrupts,2/15/1958,9,0,Bomb threat interrupts debate on racial integration in which segregationist Wang s,201,2
8508,1958,NYT Index 1958,597,Rev H D Darby,7/23/1958,9,0,Rev Darby suit challenging voter regis laws heard; Mrs Motley of NAACP seeks to prove anti-Negroes bias,206,2
8522,1958,NYT Index 1958,625,Negro Rev T,10/1/1958,9,0,"Negro Rev Nelson loses false arrest damage suit against Birmingham, Ala, office bldg; had been held for disorderly conduct for refusing to leave elevator marked 'white' but ct had dismissed charge",201,2
8659,1958,NYT Index 1958,899,Hoffa-Spindel-Brennan,1/7/1958,9,0,Hoffa-Spindel-Brennan retrial on alleged wiretap conspiracy set for feb,209,2
